Date,Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Procurement lead time,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Manufacturing lead time,Manufacturing costs,is_weekend,day_of_week,month,quarter,year,day_of_year,week_of_year,is_month_end,is_quarter_end,is_event_active,active_event,seasonal_multiplier
2023-01-01,cosmetics,SKU001,72.92,85,373,27199.16,Male,373,3,1,Standard,8.98,Supplier_4,Delhi,6,32.59,1,6,1,1,2023,1,52,0,0,1,New Year,2.0141
2023-01-02,cosmetics,SKU001,83.35,95,293,24421.55,Male,293,10,7,Express,13.82,Supplier_2,Mumbai,15,33.15,0,0,1,1,2023,2,1,0,0,1,New Year,1.7067
2023-01-03,cosmetics,SKU001,112.74,98,639,72040.86,Male,639,11,7,Express,13.64,Supplier_6,Mumbai,10,70.64,0,1,1,1,2023,3,1,0,0,1,New Year,1.5615
2023-01-04,cosmetics,SKU001,37.45,93,353,13219.85,Unisex,353,19,1,Standard,13.71,Supplier_3,Bangalore,8,20.73,0,2,1,1,2023,4,1,0,0,1,New Year,1.4426
2023-01-05,cosmetics,SKU001,94.54,88,377,35641.58,Male,377,16,5,Express,22.35,Supplier_4,Mumbai,11,38.63,0,3,1,1,2023,5,1,0,0,1,New Year,1.6283
2023-01-06,cosmetics,SKU001,82.16,97,422,34671.52,Female,422,14,6,Standard,28.27,Supplier_4,Pune,17,50.32,0,4,1,1,2023,6,1,0,0,1,New Year,1.6536
2023-01-07,cosmetics,SKU001,82.73,94,399,33009.27,Unisex,399,25,6,Standard,24.43,Supplier_2,Mumbai,8,38.44,1,5,1,1,2023,7,1,0,0,1,New Year,2.1822
2023-01-08,cosmetics,SKU001,114.27,92,403,46050.81,Unisex,403,11,6,Standard,15.69,Supplier_7,Kolkata,19,52.4,1,6,1,1,2023,8,1,0,0,1,New Year,2.0441
2023-01-09,cosmetics,SKU001,89.27,96,456,40707.12,Female,456,22,1,Standard,23.43,Supplier_1,Bangalore,15,48.8,0,0,1,1,2023,9,2,0,0,1,New Year,1.728
2023-01-10,cosmetics,SKU001,102.48,87,314,32178.72,Female,314,25,7,Economy,27.64,Supplier_1,Kolkata,16,65.54,0,1,1,1,2023,10,2,0,0,1,New Year,1.4982
2023-01-11,cosmetics,SKU001,107.29,92,542,58151.18,Female,542,9,8,Standard,12.62,Supplier_2,Kolkata,16,49.35,0,2,1,1,2023,11,2,0,0,1,New Year,1.5186
2023-01-12,cosmetics,SKU001,79.61,99,644,51268.84,Female,644,12,5,Economy,26.68,Supplier_2,Pune,8,46.68,0,3,1,1,2023,12,2,0,0,1,New Year,1.7097
2023-01-13,cosmetics,SKU001,85.49,91,269,22996.81,Male,269,17,5,Premium,12.62,Supplier_1,Kolkata,6,44.74,0,4,1,1,2023,13,2,0,0,1,New Year,1.7317
